Date,old_Latitude,old_Longitude,Temperature_at_atm,temp_celsius,temp_fahrenheit,new_Longitude
01-06-2015,33.5,241.88,292.95,19.80000000000001,67.63999999999993,-118.12
01-06-2015,33.5,243.13,295.19,22.04000000000002,71.67199999999997,-116.87
01-06-2015,33.5,244.38,301.64,28.49000000000001,83.28199999999998,-115.62
01-07-2015,30.5,241.88,294.25,21.100000000000023,69.97999999999996,-118.12
01-07-2015,30.5,243.13,295.3,22.150000000000034,71.87000000000006,-116.87
01-07-2015,30.5,244.38,301.35,28.200000000000045,82.76000000000005,-115.62
01-07-2015,31.5,241.88,293.91,20.760000000000048,69.368,-118.12
01-07-2015,31.5,243.13,295.47,22.32000000000005,72.1760000000001,-116.87
01-07-2015,31.5,244.38,302.76,29.610000000000014,85.29799999999994,-115.62
01-07-2015,32.5,241.88,293.77,20.620000000000005,69.11599999999993,-118.12
