Date,old_Latitude,old_Longitude,Temperature_at_atm,temp_celsius,temp_fahrenheit,new_Longitude
01-06-2015,32.5,249.37,300.27,27.120000000000005,80.81599999999997,-110.63
01-06-2015,32.5,250.62,297.98,24.83000000000004,76.69400000000002,-109.38
01-07-2015,29.5,248.12,304.11,30.960000000000036,87.72800000000001,-111.88
01-07-2015,29.5,249.37,303.42,30.27000000000004,86.48600000000005,-110.63
01-07-2015,29.5,250.62,298.7,25.55000000000001,77.98999999999995,-109.38
01-07-2015,30.5,248.12,303.84,30.689999999999998,87.2419999999999,-111.88
01-07-2015,30.5,249.37,301.43,28.28000000000003,82.90400000000005,-110.63
01-07-2015,30.5,250.62,299.19,26.04000000000002,78.87200000000001,-109.38
01-07-2015,31.5,248.12,304.02,30.870000000000005,87.56599999999997,-111.88
01-07-2015,31.5,249.37,301.23,28.08000000000004,82.54400000000004,-110.63
01-07-2015,31.5,250.62,300.87,27.720000000000027,81.89600000000002,-109.38
01-07-2015,32.5,248.12,306.05,32.900000000000034,91.21999999999997,-111.88
01-07-2015,32.5,249.37,303.3,30.150000000000034,86.27000000000004,-110.63
01-07-2015,32.5,250.62,301.41,28.260000000000048,82.868,-109.38
01-08-2015,29.5,248.12,304.84,31.689999999999998,89.04199999999997,-111.88
01-08-2015,29.5,249.37,304.04,30.890000000000043,87.60200000000003,-110.63
01-08-2015,29.5,250.62,299.08,25.930000000000007,78.67399999999992,-109.38
01-08-2015,30.5,248.12,304.7,31.55000000000001,88.79000000000002,-111.88
01-08-2015,30.5,249.37,302.82,29.670000000000016,85.406,-110.63
01-08-2015,30.5,250.62,300.61,27.460000000000036,81.42800000000005,-109.38
01-08-2015,31.5,248.12,304.65,31.5,88.69999999999999,-111.88
01-08-2015,31.5,249.37,302.46,29.310000000000002,84.75799999999998,-110.63
01-08-2015,31.5,250.62,302.03,28.879999999999995,83.98399999999998,-109.38
01-08-2015,32.5,248.12,306.6,33.450000000000045,92.2100000000001,-111.88
01-08-2015,32.5,249.37,304.22,31.07000000000005,87.9260000000001,-110.63
01-08-2015,32.5,250.62,302.4,29.25,84.64999999999992,-109.38
01-09-2015,29.5,248.12,304.31,31.160000000000025,88.08800000000002,-111.88
01-09-2015,29.5,249.37,302.13,28.980000000000018,84.16400000000004,-110.63
01-09-2015,29.5,250.62,298.22,25.07000000000005,77.12600000000003,-109.38
01-09-2015,30.5,248.12,302.73,29.58000000000004,85.24400000000009,-111.88
01-09-2015,30.5,249.37,299.63,26.480000000000018,79.66400000000004,-110.63
01-09-2015,30.5,250.62,297.93,24.78000000000003,76.60399999999998,-109.38
01-09-2015,31.5,248.12,301.95,28.80000000000001,83.83999999999997,-111.88
01-09-2015,31.5,249.37,298.52,25.370000000000005,77.666,-110.63
01-09-2015,31.5,250.62,298.1,24.950000000000045,76.91000000000003,-109.38
01-09-2015,32.5,248.12,303.27,30.120000000000005,86.21599999999995,-111.88
01-09-2015,32.5,249.37,300.47,27.32000000000005,81.1760000000001,-110.63
01-09-2015,32.5,250.62,298.01,24.860000000000014,76.74799999999999,-109.38
01-10-2015,29.5,248.12,300.89,27.74000000000001,81.93199999999996,-111.88
01-10-2015,29.5,249.37,299.55,26.400000000000034,79.52000000000004,-110.63
01-10-2015,29.5,250.62,296.21,23.060000000000002,73.50799999999998,-109.38
01-10-2015,30.5,248.12,298.62,25.470000000000027,77.84600000000006,-111.88
01-10-2015,30.5,249.37,296.37,23.220000000000027,73.79599999999999,-110.63
01-10-2015,30.5,250.62,294.67,21.52000000000004,70.73600000000005,-109.38
01-10-2015,31.5,248.12,297.81,24.660000000000025,76.38799999999998,-111.88
01-10-2015,31.5,249.37,294.53,21.379999999999995,70.48399999999998,-110.63
01-10-2015,31.5,250.62,293.7,20.55000000000001,68.98999999999995,-109.38
01-10-2015,32.5,248.12,298.67,25.52000000000004,77.93599999999998,-111.88
01-10-2015,32.5,249.37,295.43,22.28000000000003,72.10399999999998,-110.63
01-10-2015,32.5,250.62,293.21,20.060000000000002,68.108,-109.38
01-11-2015,29.5,248.12,290.5,17.350000000000023,63.22999999999996,-111.88
01-11-2015,29.5,249.37,288.33,15.180000000000007,59.32400000000001,-110.63
01-11-2015,29.5,250.62,285.74,12.590000000000032,54.66199999999998,-109.38
01-11-2015,30.5,248.12,287.2,14.050000000000011,57.29000000000002,-111.88
01-11-2015,30.5,249.37,284.57,11.420000000000016,52.55599999999998,-110.63
01-11-2015,30.5,250.62,282.99,9.840000000000032,49.71199999999999,-109.38
01-11-2015,31.5,248.12,285.02,11.870000000000005,53.36599999999993,-111.88
01-11-2015,31.5,249.37,282.18,9.03000000000003,48.25400000000002,-110.63
01-11-2015,31.5,250.62,280.96,7.810000000000002,46.057999999999936,-109.38
01-11-2015,32.5,248.12,285.3,12.150000000000034,53.87000000000006,-111.88
01-11-2015,32.5,249.37,282.62,9.470000000000027,49.04599999999999,-110.63
01-11-2015,32.5,250.62,279.92,6.770000000000039,44.186000000000035,-109.38
01-12-2015,29.5,248.12,286.17,13.020000000000039,55.43599999999998,-111.88
01-12-2015,29.5,249.37,283.68,10.53000000000003,50.95400000000001,-110.63
01-12-2015,29.5,250.62,281.09,7.939999999999998,46.29199999999997,-109.38
01-12-2015,30.5,248.12,283.04,9.890000000000043,49.80200000000002,-111.88
01-12-2015,30.5,249.37,279.84,6.689999999999998,44.04199999999997,-110.63
01-12-2015,30.5,250.62,277.88,4.730000000000018,40.51400000000001,-109.38
01-12-2015,31.5,248.12,281.32,8.170000000000016,46.70599999999996,-111.88
01-12-2015,31.5,249.37,277.79,4.640000000000043,40.35200000000003,-110.63
01-12-2015,31.5,250.62,276.16,3.0100000000000477,37.41800000000006,-109.38
01-12-2015,32.5,248.12,281.03,7.8799999999999955,46.18399999999997,-111.88
01-12-2015,32.5,249.37,278.34,5.189999999999998,41.34199999999993,-110.63
01-12-2015,32.5,250.62,275.7,2.5500000000000114,36.589999999999975,-109.38
01-01-2016,29.5,248.12,286.07,12.920000000000016,55.25600000000003,-111.88
