YYYYMM, LAT, LON, TAS
201707,   25.50,  261.88,  303.48
201707,   25.50,  263.12,  301.41
201707,   26.50,  260.62,  305.16
201707,   26.50,  261.88,  303.15
201707,   26.50,  263.12,  301.55
201707,   27.50,  260.62,  304.81
201707,   27.50,  261.88,  303.00
201707,   27.50,  263.12,  301.74
201708,   24.50,  260.62,  301.44
201708,   24.50,  261.88,  304.73
201708,   24.50,  263.12,  303.07
201708,   25.50,  260.62,  304.74
201708,   25.50,  261.88,  305.15
201708,   25.50,  263.12,  302.83
201708,   26.50,  260.62,  306.44
201708,   26.50,  261.88,  304.54
201708,   26.50,  263.12,  302.71
201708,   27.50,  260.62,  306.17
201708,   27.50,  261.88,  304.27
201708,   27.50,  263.12,  302.71
201709,   24.50,  260.62,  297.47
201709,   24.50,  261.88,  301.66
201709,   24.50,  263.12,  301.70
201709,   25.50,  260.62,  299.65
201709,   25.50,  261.88,  301.83
201709,   25.50,  263.12,  301.55
201709,   26.50,  260.62,  301.10
201709,   26.50,  261.88,  301.04
201709,   26.50,  263.12,  301.31
201709,   27.50,  260.62,  300.80
201709,   27.50,  261.88,  300.62
201709,   27.50,  263.12,  300.96
201710,   24.50,  260.62,  293.08
201710,   24.50,  261.88,  297.19
201710,   24.50,  263.12,  299.26
201710,   25.50,  260.62,  294.92
201710,   25.50,  261.88,  297.26
201710,   25.50,  263.12,  298.93
201710,   26.50,  260.62,  295.75
201710,   26.50,  261.88,  296.59
201710,   26.50,  263.12,  298.44
201710,   27.50,  260.62,  295.28
201710,   27.50,  261.88,  295.75
201710,   27.50,  263.12,  297.67
201711,   24.50,  260.62,  286.60
201711,   24.50,  261.88,  290.43
201711,   24.50,  263.12,  294.00
201711,   25.50,  260.62,  287.61
201711,   25.50,  261.88,  290.24
201711,   25.50,  263.12,  293.31
201711,   26.50,  260.62,  288.34
201711,   26.50,  261.88,  289.40
201711,   26.50,  263.12,  292.54
201711,   27.50,  260.62,  287.43
201711,   27.50,  261.88,  288.00
201711,   27.50,  263.12,  290.93
201712,   24.50,  260.62,  283.33
201712,   24.50,  261.88,  286.80
201712,   24.50,  263.12,  291.08
201712,   25.50,  260.62,  283.50
201712,   25.50,  261.88,  285.73
201712,   25.50,  263.12,  290.01
