Honduras,,Mexico,,Guatemala,,El Salvador,
Date,Total,Date,Total,Date,Total,Date,Total
2010-09,128,2015-08,"3,575",2015-08,692,2022-01,90
2013-01,128,2014-07,"3,537",2008-06,685,2011-11,90
2015-03,127,2018-03,"3,445",2011-11,680,2015-07,90
2015-06,126,2016-09,"3,263",2013-09,674,2018-11,89
2011-05,126,2020-03,"3,236",2016-02,659,2014-04,89
2011-08,125,2016-01,"3,234",2012-09,658,2013-08,89
2015-04,124,2019-03,"3,178",2009-07,644,2015-10,87
2011-04,123,2019-10,"3,077",2011-10,625,2015-08,86
2010-07,122,2016-08,"2,971",2008-04,615,2020-03,85
2015-05,121,2019-05,"2,954",2011-04,610,2012-01,85
2009-11,121,2019-11,"2,953",2009-10,603,2013-10,83
2017-10,120,2020-02,"2,921",2017-07,595,2014-02,83
2015-07,120,2020-01,"2,910",2011-07,577,2013-01,80
2011-12,119,2018-04,"2,901",2010-11,575,2015-03,80
2011-06,117,2015-07,"2,870",2010-10,568,2018-06,80
2009-07,117,2018-10,"2,824",2011-08,565,2014-08,80
2009-03,117,2019-12,"2,758",2009-05,563,2017-02,79
2008-10,115,2016-07,"2,754",2010-03,559,2018-07,75
2014-09,113,2017-11,"2,702",2009-06,558,2018-08,75
2011-09,111,2019-04,"2,666",2011-02,550,2011-07,74
2014-01,111,2020-05,"2,640",2014-10,549,2007-12,74
2022-06,110,2017-10,"2,626",2008-10,549,2014-07,72
2009-04,108,2019-09,"2,551",2014-08,547,2008-01,72
2008-03,105,2018-01,"2,530",2009-03,537,2017-11,70
2014-12,104,2018-05,"2,499",2017-06,528,2013-09,69
2022-07,100,2018-11,"2,440",2011-09,514,2020-07,67
2009-08,100,2018-09,"2,435",2009-11,503,2012-07,67
2017-07,99,2016-12,"2,430",2010-12,487,2016-01,67
2009-12,94,2018-02,"2,418",2014-09,486,2017-10,67
2011-02,92,2019-06,"2,418",2008-03,473,2017-06,64
2010-01,90,2019-02,"2,319",2017-02,470,2017-12,63
2014-10,89,2017-12,"2,310",2009-04,452,2014-11,63
2017-09,86,2017-01,"2,182",2011-01,452,2011-01,62
2014-11,85,2018-06,"2,178",2009-12,440,2017-05,62
2008-11,83,2017-09,"2,136",2008-12,429,2015-02,62
2017-04,82,2019-01,"2,104",2008-11,427,2014-01,60
2009-01,81,2017-08,"2,059",2008-02,388,2014-09,56
2017-08,81,2018-08,"2,052",2009-01,387,2017-03,54
2010-08,80,2020-04,"1,997",2010-01,364,2014-10,52
2011-03,79,2019-08,"1,992",2009-02,362,2018-02,51
2015-01,73,2019-07,"1,897",2010-02,359,2019-01,48
2008-12,69,2018-12,"1,851",2007-10,319,2020-04,46
2010-11,63,2017-06,"1,814",2020-04,313,2022-06,40
2008-01,58,2017-02,"1,786",2007-11,312,2017-09,38
2015-02,56,2018-07,"1,690",2017-05,311,2017-08,37
2007-12,51,2022-06,"1,671",2007-12,293,2020-06,37
2007-11,46,2017-05,"1,670",2020-06,284,2018-01,33
2007-10,43,2017-03,"1,566",2008-01,268,2020-05,30
2010-10,41,2022-07,"1,451",2017-03,230,2017-07,30
2010-12,39,2017-07,"1,425",2017-04,206,2017-04,27
2011-01,34,2017-04,"1,150",2020-05,151,2022-07,23
